万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
002820.SZ,002820,20260325,91500030,0,767,0,S,117500,100
002820.SZ,002820,20260325,91500040,0,4524,0,S,114200,100
002820.SZ,002820,20260325,91500050,0,5677,0,S,116600,1000
002820.SZ,002820,20260325,91500050,0,5745,0,S,116600,1600
002820.SZ,002820,20260325,91500050,0,8118,0,S,116800,400
002820.SZ,002820,20260325,91500060,0,13069,0,B,102000,100
002820.SZ,002820,20260325,91500060,0,13363,0,S,114400,300
002820.SZ,002820,20260325,91500070,0,14897,0,S,117500,5000
002820.SZ,002820,20260325,91500070,0,14978,0,S,110000,1500
002820.SZ,002820,20260325,91500070,0,16803,0,S,115300,900
002820.SZ,002820,20260325,91500080,0,21382,0,S,111100,200
002820.SZ,002820,20260325,91500090,0,24158,0,S,117500,3600
002820.SZ,002820,20260325,91500100,0,27138,0,S,109800,200
002820.SZ,002820,20260325,91500100,0,27955,0,S,115700,19300
002820.SZ,002820,20260325,91500100,0,28864,0,S,116800,3100
002820.SZ,002820,20260325,91500100,0,28874,0,S,116700,500
002820.SZ,002820,20260325,91500100,0,30069,0,B,106800,800
002820.SZ,002820,20260325,91500120,0,35741,0,B,104500,5000
002820.SZ,002820,20260325,91500120,0,37304,0,B,102000,100
002820.SZ,002820,20260325,91500130,0,42017,0,S,108800,400
002820.SZ,002820,20260325,91500140,0,44731,0,S,117400,100
002820.SZ,002820,20260325,91500140,0,46734,0,S,112700,300
002820.SZ,002820,20260325,91500150,0,49218,0,S,108400,5700
002820.SZ,002820,20260325,91500150,0,49225,0,S,112400,5400
002820.SZ,002820,20260325,91500150,0,49226,0,S,116400,5300
002820.SZ,002820,20260325,91500150,0,49258,0,S,117500,300
002820.SZ,002820,20260325,91500150,0,49259,0,B,103500,5700
002820.SZ,002820,20260325,91500150,0,51029,0,B,103800,500
002820.SZ,002820,20260325,91500160,0,52402,0,S,116800,800
002820.SZ,002820,20260325,91500160,0,53843,0,B,101100,600
002820.SZ,002820,20260325,91500170,0,55109,0,S,116800,2000
002820.SZ,002820,20260325,91500170,0,56391,0,S,106600,200
002820.SZ,002820,20260325,91500170,0,56663,0,B,105700,26000
002820.SZ,002820,20260325,91500170,0,57992,0,S,117500,100
002820.SZ,002820,20260325,91500180,0,59175,0,B,100100,1000
002820.SZ,002820,20260325,91500180,0,59176,0,B,97100,1000
002820.SZ,002820,20260325,91500180,0,59180,0,S,109900,2000
002820.SZ,002820,20260325,91500180,0,59181,0,S,114400,1000
002820.SZ,002820,20260325,91500180,0,59182,0,S,117500,1000
002820.SZ,002820,20260325,91500180,0,59794,0,S,110900,2000
002820.SZ,002820,20260325,91500180,0,60228,0,S,117500,100
002820.SZ,002820,20260325,91500180,0,60505,0,B,100000,2100
002820.SZ,002820,20260325,91500190,0,64493,0,S,116500,200
002820.SZ,002820,20260325,91500200,0,66214,0,S,117400,600
002820.SZ,002820,20260325,91500200,0,66472,0,B,96200,100
002820.SZ,002820,20260325,91500200,0,67672,0,S,117000,100
002820.SZ,002820,20260325,91500200,0,67954,0,S,111600,100
002820.SZ,002820,20260325,91500210,0,68228,0,B,105500,1000
002820.SZ,002820,20260325,91500210,0,68229,0,B,105000,2000
002820.SZ,002820,20260325,91500210,0,68241,0,B,104500,3000
002820.SZ,002820,20260325,91500210,0,70095,0,S,110500,400
002820.SZ,002820,20260325,91500240,0,76481,0,S,117500,1300
002820.SZ,002820,20260325,91500260,0,79699,0,B,100000,100
002820.SZ,002820,20260325,91500270,0,80459,0,S,117500,600
002820.SZ,002820,20260325,91500270,0,80460,0,S,111200,500
002820.SZ,002820,20260325,91500270,0,80498,0,B,101200,500
002820.SZ,002820,20260325,91500270,0,80731,0,S,110500,1000
002820.SZ,002820,20260325,91500270,0,81561,0,S,117400,2200
002820.SZ,002820,20260325,91500280,0,82743,0,S,116600,1000
002820.SZ,002820,20260325,91500290,0,82987,0,S,112200,1400
002820.SZ,002820,20260325,91500310,0,87160,0,S,110500,600
002820.SZ,002820,20260325,91500310,0,87161,0,S,110500,800
002820.SZ,002820,20260325,91500320,0,87748,0,S,117500,1000
002820.SZ,002820,20260325,91500320,0,88927,0,S,115000,1000
002820.SZ,002820,20260325,91500330,0,89715,0,B,97700,200
002820.SZ,002820,20260325,91500340,0,90585,0,S,111500,1600
002820.SZ,002820,20260325,91500340,0,91149,0,B,106900,100
002820.SZ,002820,20260325,91500410,0,98810,0,S,117500,4100
002820.SZ,002820,20260325,91500440,0,101662,0,S,112400,30000
002820.SZ,002820,20260325,91500470,0,105074,0,S,117500,400
002820.SZ,002820,20260325,91500490,0,106650,0,B,96100,700
002820.SZ,002820,20260325,91500490,0,106915,0,S,114200,200
002820.SZ,002820,20260325,91500490,0,106933,0,S,114200,200
002820.SZ,002820,20260325,91500490,0,107034,0,S,117500,5000
002820.SZ,002820,20260325,91500540,0,111431,0,B,104500,500
002820.SZ,002820,20260325,91500540,0,111435,0,S,109500,500
002820.SZ,002820,20260325,91500550,0,112554,0,S,114100,2000
002820.SZ,002820,20260325,91500550,0,112555,0,S,114700,1000
002820.SZ,002820,20260325,91500580,0,115814,0,S,117400,1300
002820.SZ,002820,20260325,91500580,0,116200,0,B,104000,5000
002820.SZ,002820,20260325,91500580,0,116201,0,S,112700,5000
002820.SZ,002820,20260325,91500580,0,116203,0,S,115900,6000
002820.SZ,002820,20260325,91500610,0,119099,0,B,100000,200
002820.SZ,002820,20260325,91500610,0,119129,0,B,100000,200
002820.SZ,002820,20260325,91500630,0,120715,0,S,117500,500
002820.SZ,002820,20260325,91500630,0,121111,0,S,117500,100
002820.SZ,002820,20260325,91500630,0,121635,0,S,117400,200
002820.SZ,002820,20260325,91500640,0,122437,0,B,104800,1000
002820.SZ,002820,20260325,91500640,0,122474,0,S,107800,2000
002820.SZ,002820,20260325,91500640,0,122578,0,S,108800,2000
002820.SZ,002820,20260325,91500640,0,122798,0,S,112900,1200
002820.SZ,002820,20260325,91500650,0,123429,0,B,106800,9400
002820.SZ,002820,20260325,91500660,0,124120,0,S,108400,3600
002820.SZ,002820,20260325,91500680,0,126224,0,S,115500,200
002820.SZ,002820,20260325,91500680,0,126225,0,S,113600,200
002820.SZ,002820,20260325,91500680,0,126228,0,S,117500,1500
002820.SZ,002820,20260325,91500700,0,127877,0,S,96100,400
002820.SZ,002820,20260325,91500710,0,129106,0,B,106300,9500
002820.SZ,002820,20260325,91500740,0,132609,0,B,97800,2200
002820.SZ,002820,20260325,91500740,0,132610,0,B,101500,1900
002820.SZ,002820,20260325,91500740,0,132611,0,S,111200,700
002820.SZ,002820,20260325,91500740,0,132612,0,S,109200,1200
002820.SZ,002820,20260325,91500810,0,138638,0,S,117500,100
002820.SZ,002820,20260325,91500840,0,140612,0,B,106500,500
002820.SZ,002820,20260325,91500840,0,140691,0,S,117400,2200
002820.SZ,002820,20260325,91500870,0,142696,0,B,103100,600
002820.SZ,002820,20260325,91500900,0,144421,0,B,101000,1500
002820.SZ,002820,20260325,91500980,0,148860,0,S,117400,200
002820.SZ,002820,20260325,91501180,0,159801,0,B,102800,200
002820.SZ,002820,20260325,91501300,0,165383,0,B,102000,1000
002820.SZ,002820,20260325,91501360,0,167567,0,S,116400,13300
002820.SZ,002820,20260325,91501380,0,168500,0,B,106800,14600
002820.SZ,002820,20260325,91501500,0,173214,0,S,117400,600
002820.SZ,002820,20260325,91501500,0,173335,0,S,106700,200
002820.SZ,002820,20260325,91501580,0,176954,0,B,103300,900
002820.SZ,002820,20260325,91501580,0,177228,0,S,112400,400
002820.SZ,002820,20260325,91501590,0,177568,0,S,115100,600
002820.SZ,002820,20260325,91501590,0,177829,0,S,117500,6700
002820.SZ,002820,20260325,91501720,0,183706,0,S,117000,200
002820.SZ,002820,20260325,91501740,0,184858,0,B,103700,300
002820.SZ,002820,20260325,91501740,0,184863,0,B,102700,300
002820.SZ,002820,20260325,91501860,0,190597,0,B,102300,500
002820.SZ,002820,20260325,91501920,0,192924,0,B,105000,1500
002820.SZ,002820,20260325,91501920,0,192979,0,B,103000,4800
002820.SZ,002820,20260325,91501940,0,193488,0,S,106700,200
002820.SZ,002820,20260325,91502090,0,198158,0,S,117400,800
002820.SZ,002820,20260325,91502090,0,198167,0,S,117400,800
002820.SZ,002820,20260325,91502120,0,199151,0,S,117400,1900
002820.SZ,002820,20260325,91502200,0,200953,0,S,108900,100
002820.SZ,002820,20260325,91502310,0,203317,0,S,106700,1000
002820.SZ,002820,20260325,91502380,0,204630,0,B,117500,12800
002820.SZ,002820,20260325,91502600,0,209798,0,B,105200,5000
002820.SZ,002820,20260325,91502610,0,210083,0,B,100000,200
002820.SZ,002820,20260325,91503060,0,219543,0,S,117400,17800
002820.SZ,002820,20260325,91503730,0,226674,0,S,117400,11200
002820.SZ,002820,20260325,91503740,0,226944,0,S,113800,4000
002820.SZ,002820,20260325,91503740,0,226949,0,S,115800,4000
002820.SZ,002820,20260325,91503750,0,227272,0,S,114800,4000
002820.SZ,002820,20260325,91503750,0,227277,0,S,116800,4000
002820.SZ,002820,20260325,91504140,0,230997,0,S,106800,3200
002820.SZ,002820,20260325,91504500,0,231827,0,S,110500,400
002820.SZ,002820,20260325,91504760,0,234734,0,B,105000,1000
002820.SZ,002820,20260325,91504860,0,235469,0,S,117400,500
002820.SZ,002820,20260325,91505530,0,236938,0,S,117500,1400
002820.SZ,002820,20260325,91505640,0,238035,0,S,111000,2000
002820.SZ,002820,20260325,91505710,0,238348,0,S,117400,700
002820.SZ,002820,20260325,91505830,0,238533,0,S,117400,18500
002820.SZ,002820,20260325,91506250,0,239349,0,S,117400,11900
002820.SZ,002820,20260325,91506460,0,239388,0,S,117400,17500
002820.SZ,002820,20260325,91506500,0,239469,0,S,110500,200
002820.SZ,002820,20260325,91506590,0,239582,0,S,117400,13200
002820.SZ,002820,20260325,91506720,0,239769,0,S,117400,17200
002820.SZ,002820,20260325,91506850,0,239854,0,S,117400,15600
002820.SZ,002820,20260325,91506920,0,239922,0,S,117400,17400
002820.SZ,002820,20260325,91506990,0,240062,0,S,117400,15600
002820.SZ,002820,20260325,91507060,0,240082,0,S,117400,16900
002820.SZ,002820,20260325,91507100,0,240094,0,S,117500,700
002820.SZ,002820,20260325,91507120,0,240113,0,S,117400,15600
002820.SZ,002820,20260325,91507180,0,240128,0,S,117400,17000
002820.SZ,002820,20260325,91507250,0,240190,0,S,117400,18600
002820.SZ,002820,20260325,91516900,0,241898,0,B,117500,2000
002820.SZ,002820,20260325,91536180,0,245606,0,B,108400,900
002820.SZ,002820,20260325,91541220,0,246772,0,S,110000,400
002820.SZ,002820,20260325,91541250,0,246779,0,B,100000,400
002820.SZ,002820,20260325,91604140,0,252184,0,S,109000,100
002820.SZ,002820,20260325,91605880,0,252645,0,S,117400,100
002820.SZ,002820,20260325,91610090,0,253664,0,S,109500,100
002820.SZ,002820,20260325,91616200,0,255140,0,S,110000,100
002820.SZ,002820,20260325,91622050,0,256725,0,S,116700,7000
002820.SZ,002820,20260325,91622250,0,256773,0,S,110500,100
002820.SZ,002820,20260325,91623400,0,257080,0,S,116800,4200
002820.SZ,002820,20260325,91628320,0,258302,0,S,111000,100
002820.SZ,002820,20260325,91636710,0,260448,0,S,112000,100
002820.SZ,002820,20260325,91641490,0,261669,0,B,108400,900
002820.SZ,002820,20260325,91652010,0,264409,0,S,116700,1900
002820.SZ,002820,20260325,91653330,0,264785,0,S,116800,1100
002820.SZ,002820,20260325,91659490,0,266507,0,S,109600,1000
002820.SZ,002820,20260325,91705670,0,268326,0,S,113800,13000
002820.SZ,002820,20260325,91712840,0,270490,0,S,114200,200
002820.SZ,002820,20260325,91715470,0,271267,0,S,117500,1000
002820.SZ,002820,20260325,91724210,0,273925,0,S,117500,3800
002820.SZ,002820,20260325,91734460,0,277146,0,S,117300,300
002820.SZ,002820,20260325,91738800,0,278564,0,S,105000,200
002820.SZ,002820,20260325,91741620,0,279525,0,B,103000,800
002820.SZ,002820,20260325,91745270,0,280711,0,S,113800,100
002820.SZ,002820,20260325,91749950,0,282275,0,S,117300,8700
002820.SZ,002820,20260325,91750440,0,282435,0,B,102800,200
