万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数
000711.SZ,000711,20260325,91500000,0,0,0,0,0,,,0,0,0,0,0,44500,42300,0,0,0,0,0,0,0,0,0,2056100,10662800,0,0,0,0,0,0,0,0,42300,0,0,0,0,0,0,0,0,0,2056100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000711.SZ,000711,20260325,91509000,0,0,0,0,0,,,0,0,0,0,0,44500,42300,0,0,0,0,0,0,0,0,0,5688100,14106000,0,0,0,0,0,0,0,0,42300,0,0,0,0,0,0,0,0,0,5688100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000711.SZ,000711,20260325,91518000,0,0,0,0,0,,,0,0,0,0,0,44500,42300,0,0,0,0,0,0,0,0,0,5733900,14484300,0,0,0,0,0,0,0,0,42300,0,0,0,0,0,0,0,0,0,5733900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000711.SZ,000711,20260325,91527000,0,0,0,0,0,,,0,0,0,0,0,44500,42300,0,0,0,0,0,0,0,0,0,6031500,14783700,0,0,0,0,0,0,0,0,42300,0,0,0,0,0,0,0,0,0,6031500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000711.SZ,000711,20260325,91536000,0,0,0,0,0,,,0,0,0,0,0,44500,42300,0,0,0,0,0,0,0,0,0,5983200,14832900,0,0,0,0,0,0,0,0,42300,0,0,0,0,0,0,0,0,0,5983200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000711.SZ,000711,20260325,91545000,0,0,0,0,0,,,0,0,0,0,0,44500,42300,0,0,0,0,0,0,0,0,0,6285300,14674700,0,0,0,0,0,0,0,0,42300,0,0,0,0,0,0,0,0,0,6285300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000711.SZ,000711,20260325,91554000,0,0,0,0,0,,,0,0,0,0,0,44500,42300,0,0,0,0,0,0,0,0,0,6280200,14792200,0,0,0,0,0,0,0,0,42300,0,0,0,0,0,0,0,0,0,6280200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000711.SZ,000711,20260325,91603000,0,0,0,0,0,,,0,0,0,0,0,44500,42300,0,0,0,0,0,0,0,0,0,6330300,14733400,0,0,0,0,0,0,0,0,42300,0,0,0,0,0,0,0,0,0,6330300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000711.SZ,000711,20260325,91612000,0,0,0,0,0,,,0,0,0,0,0,44500,42300,0,0,0,0,0,0,0,0,0,6457800,14909400,0,0,0,0,0,0,0,0,42300,0,0,0,0,0,0,0,0,0,6457800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000711.SZ,000711,20260325,91621000,0,0,0,0,0,,,0,0,0,0,0,44500,42300,0,0,0,0,0,0,0,0,0,6955700,13904600,0,0,0,0,0,0,0,0,42300,0,0,0,0,0,0,0,0,0,6955700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000711.SZ,000711,20260325,91630000,0,0,0,0,0,,,0,0,0,0,0,44500,42300,0,0,0,0,0,0,0,0,0,6949100,14215000,0,0,0,0,0,0,0,0,42300,0,0,0,0,0,0,0,0,0,6949100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000711.SZ,000711,20260325,91639000,0,0,0,0,0,,,0,0,0,0,0,44500,42300,0,0,0,0,0,0,0,0,0,7130800,14004500,0,0,0,0,0,0,0,0,42300,0,0,0,0,0,0,0,0,0,7130800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000711.SZ,000711,20260325,91648000,0,0,0,0,0,,,0,0,0,0,0,44500,42300,0,0,0,0,0,0,0,0,0,7452900,13101800,0,0,0,0,0,0,0,0,42300,0,0,0,0,0,0,0,0,0,7452900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
