万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
688819.SH,688819,20260325,91400550,0,0,S,I,0,0
688819.SH,688819,20260325,91500280,0,1188,A,S,334900,860
688819.SH,688819,20260325,91502700,0,4653,A,S,397900,27541
688819.SH,688819,20260325,91502760,0,5603,A,S,393900,555
688819.SH,688819,20260325,91502900,0,7962,A,S,358800,5500
688819.SH,688819,20260325,91503110,0,11449,A,S,385800,300
688819.SH,688819,20260325,91503150,0,12053,A,B,266000,200
688819.SH,688819,20260325,91503420,0,16341,A,B,321800,406
688819.SH,688819,20260325,91503550,0,18577,A,S,385800,323
688819.SH,688819,20260325,91503710,0,19582,A,S,349900,200
688819.SH,688819,20260325,91503710,0,19601,A,S,368300,200
688819.SH,688819,20260325,91504010,0,25505,A,S,335000,200
688819.SH,688819,20260325,91504130,0,26878,A,S,374300,500
688819.SH,688819,20260325,91504420,0,31723,A,S,399000,200
688819.SH,688819,20260325,91504420,0,31743,A,S,370000,200
688819.SH,688819,20260325,91504420,0,32472,A,S,379900,200
688819.SH,688819,20260325,91504580,0,33043,A,S,343600,300
688819.SH,688819,20260325,91504580,0,33262,A,S,352700,200
688819.SH,688819,20260325,91504860,0,38779,A,B,323300,400
688819.SH,688819,20260325,91505010,0,39143,A,S,346700,400
688819.SH,688819,20260325,91505010,0,40074,A,B,320000,500
688819.SH,688819,20260325,91505010,0,40119,A,S,388000,200
688819.SH,688819,20260325,91505160,0,42543,A,S,399000,300
688819.SH,688819,20260325,91505280,0,42899,A,S,334000,400
688819.SH,688819,20260325,91505280,0,42986,A,S,339000,300
688819.SH,688819,20260325,91505490,0,46488,A,S,364500,1000
688819.SH,688819,20260325,91505630,0,48028,A,S,393900,1000
688819.SH,688819,20260325,91506090,0,54250,A,S,399000,200
688819.SH,688819,20260325,91506370,0,58074,A,B,308000,2100
688819.SH,688819,20260325,91506520,0,60764,A,S,354600,1000
688819.SH,688819,20260325,91506680,0,61973,A,S,352000,300
688819.SH,688819,20260325,91506680,0,62041,A,S,394000,400
688819.SH,688819,20260325,91506680,0,62874,A,B,324200,300
688819.SH,688819,20260325,91506680,0,62875,A,B,321900,300
688819.SH,688819,20260325,91506680,0,62881,A,B,318600,300
688819.SH,688819,20260325,91506680,0,63076,A,S,398800,500
688819.SH,688819,20260325,91506810,0,64617,A,S,329000,1400
688819.SH,688819,20260325,91506810,0,64635,A,S,398900,300
688819.SH,688819,20260325,91506810,0,64977,A,S,399000,500
688819.SH,688819,20260325,91506810,0,65274,A,S,373700,2000
