万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数
688521.SH,688521,20260325,91401000,0,0,0,0,0,,,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688521.SH,688521,20260325,91501000,0,0,0,0,0,,,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080100,1998910,300,10245,0,0,0,0,0
688521.SH,688521,20260325,91504000,0,0,0,0,0,,,0,0,0,0,0,2058800,2025000,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,2025000,0,0,0,0,0,0,0,0,0,520,80,0,0,0,0,0,0,0,0,2221080,1976750,24098,15059,0,0,0,0,0
688521.SH,688521,20260325,91507000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,720,4160,0,0,0,0,0,0,0,0,2234940,1981670,36137,26929,0,0,0,0,0
688521.SH,688521,20260325,91510000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,3420,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,3420,1460,0,0,0,0,0,0,0,0,2218910,1974560,58645,42097,0,0,0,0,0
688521.SH,688521,20260325,91513000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,3420,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,3420,3107,0,0,0,0,0,0,0,0,2281160,1976750,87667,48530,0,0,0,0,0
688521.SH,688521,20260325,91516000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,4338,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,4338,5715,0,0,0,0,0,0,0,0,2271590,1977680,102961,63011,0,0,0,0,0
688521.SH,688521,20260325,91519000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,4338,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,4338,8677,0,0,0,0,0,0,0,0,2259750,1941640,136469,89179,0,0,0,0,0
688521.SH,688521,20260325,91522000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,4338,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,4338,8677,0,0,0,0,0,0,0,0,2259810,1941830,138122,90579,0,0,0,0,0
688521.SH,688521,20260325,91525000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,4338,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,4338,9177,0,0,0,0,0,0,0,0,2261320,1942470,139122,91079,0,0,0,0,0
688521.SH,688521,20260325,91528000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,4338,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,4338,9177,0,0,0,0,0,0,0,0,2261320,1943710,139122,93079,0,0,0,0,0
688521.SH,688521,20260325,91531000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,4338,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,4338,9177,0,0,0,0,0,0,0,0,2261620,1942490,139322,93479,0,0,0,0,0
688521.SH,688521,20260325,91540000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,5583,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,5583,7932,0,0,0,0,0,0,0,0,2259130,1942490,140567,93479,0,0,0,0,0
688521.SH,688521,20260325,91552000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,5583,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,5583,7932,0,0,0,0,0,0,0,0,2259130,1943220,140567,94501,0,0,0,0,0
688521.SH,688521,20260325,91607000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,5583,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,5583,7932,0,0,0,0,0,0,0,0,2258730,1943130,140967,94701,0,0,0,0,0
688521.SH,688521,20260325,91610000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,5583,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,5583,7932,0,0,0,0,0,0,0,0,2258650,1943130,141167,94701,0,0,0,0,0
688521.SH,688521,20260325,91616000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,5583,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,5583,7932,0,0,0,0,0,0,0,0,2258950,1943130,141367,94701,0,0,0,0,0
688521.SH,688521,20260325,91619000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,5883,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,5883,7632,0,0,0,0,0,0,0,0,2258100,1943130,141967,94701,0,0,0,0,0
688521.SH,688521,20260325,91622000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,5883,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,5883,7832,0,0,0,0,0,0,0,0,2258100,1944240,141967,94901,0,0,0,0,0
688521.SH,688521,20260325,91625000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,5883,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,5883,7832,0,0,0,0,0,0,0,0,2258100,1944330,141967,95101,0,0,0,0,0
688521.SH,688521,20260325,91628000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,5883,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,5883,7832,0,0,0,0,0,0,0,0,2258100,1944310,141967,95601,0,0,0,0,0
688521.SH,688521,20260325,91631000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,5883,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,5883,7832,0,0,0,0,0,0,0,0,2258100,1944490,141967,95892,0,0,0,0,0
688521.SH,688521,20260325,91634000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,5883,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,5883,7832,0,0,0,0,0,0,0,0,2258240,1944490,142167,95892,0,0,0,0,0
688521.SH,688521,20260325,91643000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,5883,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,5883,8032,0,0,0,0,0,0,0,0,2258240,1944730,142167,96092,0,0,0,0,0
688521.SH,688521,20260325,91649000,0,0,0,0,0,,,0,0,0,0,0,2058800,2058800,0,0,0,0,0,0,0,0,0,5883,0,0,0,0,0,0,0,0,0,2058800,0,0,0,0,0,0,0,0,0,5883,8032,0,0,0,0,0,0,0,0,2258110,1944730,142367,96092,0,0,0,0,0
