万得代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号
301305.SZ,301305,20260325,91903090,318122,C,0, ,0,1000,314607,0
301305.SZ,301305,20260325,92500000,597096,0,0,B,249000,100,42256,74944
301305.SZ,301305,20260325,92500000,597097,0,0,B,249000,600,328869,440164
301305.SZ,301305,20260325,92500000,597098,0,0,B,249000,200,336655,440164
301305.SZ,301305,20260325,92500000,597099,0,0,B,249000,100,342144,440164
301305.SZ,301305,20260325,92500000,597100,0,0,B,249000,200,380497,440164
301305.SZ,301305,20260325,92500000,597101,0,0,B,249000,200,380497,503311
301305.SZ,301305,20260325,92500000,597102,0,0,B,249000,600,380497,503986
301305.SZ,301305,20260325,92500000,597103,0,0,B,249000,100,371670,505014
301305.SZ,301305,20260325,92500000,597104,0,0,B,249000,100,373210,505014
301305.SZ,301305,20260325,92500000,597105,0,0,B,249000,100,295676,508151
301305.SZ,301305,20260325,92500000,597106,0,0,B,249000,600,495831,508151
301305.SZ,301305,20260325,92500000,597107,0,0,B,249000,500,507417,508388
301305.SZ,301305,20260325,92500000,597108,0,0,S,249000,100,507417,501635
301305.SZ,301305,20260325,92500000,597109,0,0,B,249000,400,106948,501635
301305.SZ,301305,20260325,92500000,597110,0,0,B,249000,200,106948,502165
301305.SZ,301305,20260325,92500000,597111,0,0,B,249000,300,106948,487040
301305.SZ,301305,20260325,92500000,597112,0,0,B,249000,100,187959,487040
301305.SZ,301305,20260325,92500000,597113,0,0,B,249000,400,401232,487040
301305.SZ,301305,20260325,92500000,597114,0,0,B,249000,1000,476916,487040
301305.SZ,301305,20260325,92500000,597115,0,0,S,249000,100,497785,487040
301305.SZ,301305,20260325,92500000,597116,0,0,S,249000,100,498254,487040
301305.SZ,301305,20260325,92500000,597117,0,0,B,249000,100,352734,487040
301305.SZ,301305,20260325,92500000,597118,0,0,B,249000,1400,372869,487040
301305.SZ,301305,20260325,92500000,597119,0,0,B,249000,800,372869,487201
301305.SZ,301305,20260325,92500000,597120,0,0,B,249000,1100,372869,487298
301305.SZ,301305,20260325,92500000,597121,0,0,B,249000,500,372869,487476
301305.SZ,301305,20260325,92500000,597122,0,0,B,249000,800,372869,487797
301305.SZ,301305,20260325,92500000,597123,0,0,B,249000,700,372869,487835
301305.SZ,301305,20260325,92500000,597124,0,0,B,249000,200,372869,488121
301305.SZ,301305,20260325,92500000,597125,0,0,B,249000,100,372869,507171
301305.SZ,301305,20260325,92500000,597126,0,0,B,249000,1500,372869,502987
301305.SZ,301305,20260325,92500000,597127,0,0,B,249000,4600,372869,503140
301305.SZ,301305,20260325,92500000,597128,0,0,B,249000,1511,372869,506964
301305.SZ,301305,20260325,92500000,597129,0,0,B,249000,100,166141,506964
301305.SZ,301305,20260325,92500000,597130,0,0,B,249000,200,373241,506964
301305.SZ,301305,20260325,92500000,597131,0,0,B,249000,100,386710,506964
301305.SZ,301305,20260325,92500000,597132,0,0,B,249000,100,465526,506964
