万得代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号
002857.SZ,002857,20260325,91505770,236981,C,0, ,0,400,0,233787
002857.SZ,002857,20260325,91640570,263911,C,0, ,0,2000,223046,0
002857.SZ,002857,20260325,91802580,290377,C,0, ,0,900,0,168064
002857.SZ,002857,20260325,92500000,567951,0,0,S,235300,500,379783,296138
002857.SZ,002857,20260325,92500000,567952,0,0,B,235300,3100,379783,417066
002857.SZ,002857,20260325,92500000,567953,0,0,B,235300,100,395799,417066
002857.SZ,002857,20260325,92500000,567954,0,0,S,235300,600,418451,417066
002857.SZ,002857,20260325,92500000,567955,0,0,S,235300,200,443602,417066
002857.SZ,002857,20260325,92500000,567956,0,0,S,235300,4600,472550,417066
002857.SZ,002857,20260325,92500000,567957,0,0,S,235300,100,451560,417066
002857.SZ,002857,20260325,92500000,567958,0,0,B,235300,100,358024,417066
002857.SZ,002857,20260325,92500000,567959,0,0,B,235300,400,214465,417066
002857.SZ,002857,20260325,92500000,567960,0,0,B,235300,800,414774,417066
002857.SZ,002857,20260325,92500000,567961,0,0,B,235300,1100,414774,436397
002857.SZ,002857,20260325,92500000,567962,0,0,B,235300,200,414774,467653
002857.SZ,002857,20260325,92500000,567963,0,0,B,235300,1100,414774,498619
002857.SZ,002857,20260325,92500000,567964,0,0,B,235300,200,495050,498619
002857.SZ,002857,20260325,92500000,567965,0,0,B,235300,1500,400326,498619
002857.SZ,002857,20260325,92500000,567966,0,0,B,235300,200,361531,498619
002857.SZ,002857,20260325,92500000,567967,0,0,B,235300,1000,361531,397221
002857.SZ,002857,20260325,92500000,567968,0,0,S,235300,1400,495105,492925
002857.SZ,002857,20260325,92500000,567969,0,0,B,235300,100,455890,492925
002857.SZ,002857,20260325,92500000,567970,0,0,B,235300,600,436637,492925
002857.SZ,002857,20260325,92500000,567971,0,0,B,235300,800,436637,489153
002857.SZ,002857,20260325,92500000,567972,0,0,B,235300,100,473235,489153
002857.SZ,002857,20260325,92500000,567973,0,0,B,235300,100,19949,489153
002857.SZ,002857,20260325,92500000,567974,0,0,B,235300,1000,356906,489153
002857.SZ,002857,20260325,92500000,567975,0,0,B,235300,400,376557,489153
002857.SZ,002857,20260325,92500000,567976,0,0,B,235300,100,305891,489153
002857.SZ,002857,20260325,92500000,567977,0,0,B,235300,1000,460573,489153
002857.SZ,002857,20260325,92500000,567978,0,0,B,235300,2100,488296,489153
002857.SZ,002857,20260325,92500000,567979,0,0,B,235300,500,58310,489153
002857.SZ,002857,20260325,92500000,567980,0,0,B,235300,100,312276,489153
002857.SZ,002857,20260325,92500000,567981,0,0,B,235300,100,431438,489153
