万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
002857.SZ,002857,20260325,91500040,0,3300,0,S,251800,100
002857.SZ,002857,20260325,91500050,0,7727,0,B,225600,600
002857.SZ,002857,20260325,91500060,0,12310,0,S,250800,1000
002857.SZ,002857,20260325,91500060,0,13372,0,B,220000,400
002857.SZ,002857,20260325,91500070,0,19338,0,S,249700,5000
002857.SZ,002857,20260325,91500070,0,19949,0,S,228900,100
002857.SZ,002857,20260325,91500080,0,24021,0,S,240000,200
002857.SZ,002857,20260325,91500110,0,36621,0,S,251800,100
002857.SZ,002857,20260325,91500110,0,37569,0,S,251800,100
002857.SZ,002857,20260325,91500120,0,41173,0,S,235000,100
002857.SZ,002857,20260325,91500120,0,41189,0,S,242400,100
002857.SZ,002857,20260325,91500130,0,42631,0,B,210000,200
002857.SZ,002857,20260325,91500130,0,43493,0,S,242400,200
002857.SZ,002857,20260325,91500140,0,49117,0,B,220000,3000
002857.SZ,002857,20260325,91500140,0,49118,0,B,221000,3000
002857.SZ,002857,20260325,91500140,0,49143,0,B,219000,3300
002857.SZ,002857,20260325,91500160,0,54543,0,B,229000,100
002857.SZ,002857,20260325,91500160,0,55115,0,S,240300,3300
002857.SZ,002857,20260325,91500170,0,58310,0,S,229900,500
002857.SZ,002857,20260325,91500170,0,58503,0,S,239900,2900
002857.SZ,002857,20260325,91500190,0,63413,0,S,236000,100
002857.SZ,002857,20260325,91500200,0,66791,0,S,237600,100
002857.SZ,002857,20260325,91500200,0,66792,0,S,242800,100
002857.SZ,002857,20260325,91500230,0,75021,0,S,250000,400
002857.SZ,002857,20260325,91500250,0,79018,0,B,229100,400
002857.SZ,002857,20260325,91500270,0,81945,0,B,220800,200
002857.SZ,002857,20260325,91500280,0,83285,0,S,251800,17000
002857.SZ,002857,20260325,91500280,0,83632,0,S,245000,800
002857.SZ,002857,20260325,91500280,0,84045,0,B,223800,300
002857.SZ,002857,20260325,91500310,0,88143,0,S,245000,12600
002857.SZ,002857,20260325,91500350,0,93829,0,S,247000,31600
002857.SZ,002857,20260325,91500390,0,97801,0,S,236500,5000
002857.SZ,002857,20260325,91500390,0,97803,0,S,239500,5000
002857.SZ,002857,20260325,91500410,0,100204,0,B,219000,1000
002857.SZ,002857,20260325,91500430,0,101763,0,S,235000,500
002857.SZ,002857,20260325,91500450,0,104254,0,B,216000,500
002857.SZ,002857,20260325,91500460,0,105343,0,S,251800,100
002857.SZ,002857,20260325,91500480,0,106734,0,S,248800,100
002857.SZ,002857,20260325,91500510,0,109341,0,S,239000,5000
002857.SZ,002857,20260325,91500540,0,112784,0,B,219100,100
002857.SZ,002857,20260325,91500560,0,114679,0,B,220000,100
002857.SZ,002857,20260325,91500560,0,114680,0,S,240000,100
002857.SZ,002857,20260325,91500560,0,114681,0,S,245000,100
002857.SZ,002857,20260325,91500560,0,114683,0,S,251800,100
002857.SZ,002857,20260325,91500570,0,115472,0,B,210000,100
002857.SZ,002857,20260325,91500570,0,116076,0,S,244800,11500
002857.SZ,002857,20260325,91500580,0,116307,0,B,218800,300
002857.SZ,002857,20260325,91500600,0,118504,0,B,220000,700
002857.SZ,002857,20260325,91500610,0,119811,0,B,220000,200
002857.SZ,002857,20260325,91500630,0,121442,0,S,231200,2300
002857.SZ,002857,20260325,91500650,0,123601,0,B,215000,500
002857.SZ,002857,20260325,91500740,0,132464,0,S,235100,100
002857.SZ,002857,20260325,91500740,0,132568,0,S,251800,400
002857.SZ,002857,20260325,91500760,0,134824,0,S,248900,1000
002857.SZ,002857,20260325,91500850,0,140763,0,B,224500,500
002857.SZ,002857,20260325,91500940,0,146926,0,S,251800,100
002857.SZ,002857,20260325,91500970,0,148498,0,S,244500,5000
002857.SZ,002857,20260325,91501020,0,151320,0,B,217600,400
