万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
688758.SH,688758,20260325,91400550,0,0,S,I,0,0
688758.SH,688758,20260325,91503420,0,16014,A,S,170900,1000
688758.SH,688758,20260325,91503420,0,16038,A,B,165100,1000
688758.SH,688758,20260325,91503750,0,20562,A,S,177000,300
688758.SH,688758,20260325,91503750,0,20568,A,S,187000,300
688758.SH,688758,20260325,91504420,0,32174,A,S,202800,560
688758.SH,688758,20260325,91504580,0,32855,A,S,202800,3099
688758.SH,688758,20260325,91504580,0,32891,A,S,176400,1003
688758.SH,688758,20260325,91504580,0,33017,A,B,159000,201
688758.SH,688758,20260325,91504580,0,33360,A,S,200000,4000
688758.SH,688758,20260325,91504580,0,33371,A,S,202800,4000
688758.SH,688758,20260325,91504580,0,33394,A,S,198000,4000
688758.SH,688758,20260325,91504580,0,33595,A,S,197700,4312
688758.SH,688758,20260325,91504710,0,35136,A,S,202800,1500
688758.SH,688758,20260325,91504710,0,36067,A,S,195000,3500
688758.SH,688758,20260325,91505160,0,41070,A,S,181500,14473
688758.SH,688758,20260325,91505830,0,51873,A,B,142500,200
688758.SH,688758,20260325,91505960,0,53958,A,S,188800,200
688758.SH,688758,20260325,91506230,0,57241,A,S,202800,20057
688758.SH,688758,20260325,91506520,0,61449,A,B,161000,300
688758.SH,688758,20260325,91506520,0,61459,A,S,197000,300
688758.SH,688758,20260325,91506810,0,65590,A,S,192000,300
688758.SH,688758,20260325,91506810,0,65686,A,S,172000,300
688758.SH,688758,20260325,91506810,0,65718,A,S,182000,300
688758.SH,688758,20260325,91506810,0,65732,A,S,202800,300
688758.SH,688758,20260325,91506960,0,67470,A,S,174800,1000
688758.SH,688758,20260325,91507470,0,73858,A,S,174300,400
688758.SH,688758,20260325,91507780,0,77367,A,S,183300,300
688758.SH,688758,20260325,91507780,0,78524,A,S,173500,600
688758.SH,688758,20260325,91509540,0,96850,A,S,188800,300
688758.SH,688758,20260325,91509540,0,97688,A,B,139000,200
688758.SH,688758,20260325,91509700,0,98724,A,S,179900,400
688758.SH,688758,20260325,91509700,0,98727,A,S,198200,300
688758.SH,688758,20260325,91510550,0,103868,A,S,180800,2000
688758.SH,688758,20260325,91511170,0,108006,A,S,173000,1200
688758.SH,688758,20260325,91511970,0,113966,A,S,202400,7000
688758.SH,688758,20260325,91512150,0,116120,A,S,202800,1982
688758.SH,688758,20260325,91514200,0,139392,A,S,187800,1349
688758.SH,688758,20260325,91514200,0,140846,A,S,178400,173
688758.SH,688758,20260325,91514350,0,141053,A,S,173900,15000
688758.SH,688758,20260325,91514350,0,141054,A,S,173800,15000
688758.SH,688758,20260325,91515300,0,151876,A,B,165600,1000
688758.SH,688758,20260325,91515470,0,153053,A,S,184800,200
688758.SH,688758,20260325,91515650,0,154205,A,B,164100,1000
688758.SH,688758,20260325,91515650,0,154206,A,B,165100,500
688758.SH,688758,20260325,91515650,0,154207,A,B,166100,500
688758.SH,688758,20260325,91515650,0,154260,A,S,171400,500
688758.SH,688758,20260325,91515650,0,154261,A,S,172900,500
688758.SH,688758,20260325,91515650,0,154436,A,S,174400,500
688758.SH,688758,20260325,91515650,0,154694,A,S,182500,1809
688758.SH,688758,20260325,91516920,0,166635,A,S,176300,5000
688758.SH,688758,20260325,91516920,0,167122,A,S,198200,200
688758.SH,688758,20260325,91517590,0,173153,A,S,176800,2000
688758.SH,688758,20260325,91519530,0,191755,A,S,185000,400
688758.SH,688758,20260325,91519530,0,192143,A,S,173800,2000
688758.SH,688758,20260325,91519530,0,192144,A,S,182500,1000
