万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数
688758.SH,688758,20260325,91401000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688758.SH,688758,20260325,91504000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175060,165100,1600,1000,0,0,0,0,0
688758.SH,688758,20260325,91507000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194930,161000,64804,1701,0,0,0,0,0
688758.SH,688758,20260325,91510000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194460,158680,67104,1901,0,0,0,0,0
688758.SH,688758,20260325,91513000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194700,158680,79286,1901,0,0,0,0,0
688758.SH,688758,20260325,91516000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188630,162610,114317,4901,0,0,0,0,0
688758.SH,688758,20260325,91519000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187940,162610,121517,4901,0,0,0,0,0
688758.SH,688758,20260325,91522000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187130,164430,138640,27951,0,0,0,0,0
688758.SH,688758,20260325,91525000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187130,164380,139441,28151,0,0,0,0,0
688758.SH,688758,20260325,91528000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186910,164250,136141,28351,0,0,0,0,0
688758.SH,688758,20260325,91534000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186910,164070,136141,28551,0,0,0,0,0
688758.SH,688758,20260325,91537000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186910,163990,136141,28752,0,0,0,0,0
688758.SH,688758,20260325,91555000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186920,163990,136341,28752,0,0,0,0,0
688758.SH,688758,20260325,91622000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186940,163990,137341,28752,0,0,0,0,0
688758.SH,688758,20260325,91646000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186970,163990,137641,28752,0,0,0,0,0
688758.SH,688758,20260325,91901000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191810,163990,219841,28752,0,0,0,0,0
688758.SH,688758,20260325,91931000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191430,163990,224841,28752,0,0,0,0,0
688758.SH,688758,20260325,92031000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191370,163990,225641,28752,0,0,0,0,0
688758.SH,688758,20260325,92049000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191280,163990,226641,28752,0,0,0,0,0
688758.SH,688758,20260325,92055000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191210,163990,227641,28752,0,0,0,0,0
688758.SH,688758,20260325,92101000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191140,163990,228641,28752,0,0,0,0,0
688758.SH,688758,20260325,92107000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191080,163990,229641,28752,0,0,0,0,0
688758.SH,688758,20260325,92116000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191030,163990,230641,28752,0,0,0,0,0
688758.SH,688758,20260325,92125000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190990,163990,231641,28752,0,0,0,0,0
688758.SH,688758,20260325,92131000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191050,163990,232641,28752,0,0,0,0,0
688758.SH,688758,20260325,92134000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191020,163990,233641,28752,0,0,0,0,0
688758.SH,688758,20260325,92143000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191020,163890,233641,29252,0,0,0,0,0
688758.SH,688758,20260325,92301000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191020,163720,233641,32252,0,0,0,0,0
688758.SH,688758,20260325,92304000,0,0,0,0,0,,,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190940,163720,235641,32252,0,0,0,0,0
688758.SH,688758,20260325,92410000,0,0,0,0,0,,,0,0,0,0,0,169000,171400,0,0,0,0,0,0,0,0,0,1338,162,0,0,0,0,0,0,0,0,171400,0,0,0,0,0,0,0,0,0,1338,0,0,0,0,0,0,0,0,0,190940,165270,235641,33590,0,0,0,0,0
688758.SH,688758,20260325,92431000,0,0,0,0,0,,,0,0,0,0,0,169000,170900,0,0,0,0,0,0,0,0,0,1338,162,0,0,0,0,0,0,0,0,170900,0,0,0,0,0,0,0,0,0,1338,0,0,0,0,0,0,0,0,0,190900,165270,236141,33590,0,0,0,0,0
688758.SH,688758,20260325,92443000,0,0,0,0,0,,,0,0,0,0,0,169000,170900,0,0,0,0,0,0,0,0,0,1338,662,0,0,0,0,0,0,0,0,170900,0,0,0,0,0,0,0,0,0,1338,0,0,0,0,0,0,0,0,0,190850,165270,236641,33590,0,0,0,0,0
688758.SH,688758,20260325,92446000,0,0,0,0,0,,,0,0,0,0,0,169000,170600,0,0,0,0,0,0,0,0,0,1338,333,0,0,0,0,0,0,0,0,170600,0,0,0,0,0,0,0,0,0,1338,0,0,0,0,0,0,0,0,0,190800,165270,237312,33590,0,0,0,0,0
688758.SH,688758,20260325,92455000,0,0,0,0,0,,,0,0,0,0,0,169000,170600,0,0,0,0,0,0,0,0,0,3738,1267,0,0,0,0,0,0,0,0,170600,0,0,0,0,0,0,0,0,0,3738,0,0,0,0,0,0,0,0,0,190510,165650,240646,35990,0,0,0,0,0
688758.SH,688758,20260325,92458000,0,0,0,0,0,,,0,0,0,0,0,169000,170600,0,0,0,0,0,0,0,0,0,5556,649,0,0,0,0,0,0,0,0,170600,0,0,0,0,0,0,0,0,0,5556,0,0,0,0,0,0,0,0,0,190400,165890,241846,37808,0,0,0,0,0
688758.SH,688758,20260325,92504000,170600,0,0,8,0,,,5556,94785,170600,170600,170600,169000,170600,170900,171400,171700,172000,172900,173000,173500,173700,173800,649,1000,500,2650,300,500,1200,600,1000,17000,166100,165600,165100,165000,164100,163800,162000,161000,159000,158000,1500,1000,1500,20000,1650,1000,3000,300,201,700,190880,163720,236290,32252,0,0,0,0,0
688758.SH,688758,20260325,93004000,170600,0,0,8,0,,,5556,94785,170600,170600,170600,169000,170600,170900,171000,171400,171700,172000,172900,173000,173500,173700,649,1000,1000,500,2650,6179,500,1200,1600,1000,169100,166100,165600,165100,165000,164100,163800,162000,161000,159000,500,1500,1000,1500,20000,1650,1000,3000,300,201,190280,163800,244169,32752,0,0,0,0,0
688758.SH,688758,20260325,93007000,170600,0,0,8,0,,,5556,94785,170600,170600,170600,169000,170000,170500,170600,170900,171000,171400,171600,171700,172000,172900,1313,2000,796,1000,1000,500,500,2650,6179,500,169100,167100,166200,166100,165600,165100,165000,164100,163800,163000,500,500,2500,2073,1000,1500,20000,1650,1000,500,190320,164030,287609,36825,0,0,0,0,0
688758.SH,688758,20260325,93010000,169100,0,0,9,0,,,6056,103240,170600,169100,170600,169000,169000,170000,170500,170600,170900,171000,171400,171600,171700,172000,22700,1313,3000,3154,1000,1000,500,500,2650,6179,167100,166600,166200,166100,165600,165100,165000,164100,163800,163000,500,2000,2500,2073,1000,1500,20000,1650,1000,500,188550,164100,315667,38325,0,0,0,0,0
688758.SH,688758,20260325,93013000,169000,0,0,10,0,,,6346,108141,170600,169000,170600,169000,169000,170000,170500,170600,170900,171000,171400,171600,171700,172000,22410,1313,3404,3854,1000,1000,500,500,2650,6179,167500,167100,166600,166300,166200,166100,165600,165100,165000,164100,300,500,2000,3704,6200,2073,1000,1500,20000,1650,188430,164470,317981,46029,0,0,0,0,0
688758.SH,688758,20260325,93016000,169000,0,0,16,0,,,7610,129503,170600,169000,170600,169000,169000,169100,170000,170500,170600,170900,171000,171400,171600,171700,21146,400,1313,3404,4454,1000,1000,500,500,2650,167700,167500,167100,166600,166300,166200,166100,165600,165100,165000,5000,300,500,3000,3704,6200,2073,1800,1500,20000,188450,164830,317717,52829,0,0,0,0,0
688758.SH,688758,20260325,93019000,169000,0,0,20,0,,,18210,308643,170600,169000,170600,169000,169000,169100,170000,170400,170500,170600,170900,171000,171400,171500,10546,400,1313,9000,3404,4654,1000,1000,500,252,168800,167700,167500,167100,166600,166300,166200,166100,165600,165100,310,5000,300,500,3000,3704,6200,2073,2800,1500,188550,164890,317069,53639,0,0,0,0,0
688758.SH,688758,20260325,93022000,169000,0,0,32,0,,,25337,429085,170600,168900,170600,169000,169000,169100,170000,170400,170500,170600,170900,171000,171400,171500,3868,400,1313,9400,3404,5054,1000,1000,500,252,168800,167700,167600,167500,167300,167200,167100,166600,166300,166200,310,7375,5000,300,915,900,500,3000,1852,7200,188910,165260,311391,61977,0,0,0,0,0
688758.SH,688758,20260325,93025000,169000,0,0,33,0,,,26253,444565,170600,168900,170600,169000,168900,169000,169100,170000,170400,170500,170600,170900,171000,171400,1001,2952,200,1313,9400,3804,5054,1000,1000,500,168800,167800,167700,167600,167500,167300,167200,167100,166600,166300,310,200,7375,5000,300,1565,900,500,3000,1852,188820,165280,313176,64827,0,0,0,0,0
688758.SH,688758,20260325,93028000,169100,0,0,46,0,,,31793,538210,170600,168900,170600,169000,170000,170400,170500,170600,170900,171000,171400,171500,171600,171700,1313,9400,3804,4954,1000,1000,500,252,500,2650,169100,168900,168800,167800,167700,167600,167500,167300,167200,167100,3888,3371,1410,1402,7375,10100,300,3890,900,500,189070,165830,309423,94961,0,0,0,0,0
688758.SH,688758,20260325,93031000,169100,0,0,46,0,,,31793,538210,170600,168900,170600,169000,170000,170400,170500,170600,170900,171000,171400,171500,171600,171700,1313,9400,3400,2596,1000,1000,500,252,500,2650,169200,169100,169000,168900,168800,167800,167700,167600,167500,167300,600,11168,20181,3771,1710,1402,7375,8100,300,3890,189110,166550,309161,123369,0,0,0,0,0
688758.SH,688758,20260325,93034000,170000,0,0,47,0,,,32093,543310,170600,168900,170600,169000,170000,170400,170500,170600,170900,171000,171400,171500,171600,171700,1513,9400,3400,2596,1000,14000,500,252,500,2650,169200,169100,169000,168900,168800,167800,167700,167600,167500,167300,900,11168,24247,7660,2500,802,7375,3000,300,3890,193050,166680,493861,127414,0,0,0,0,0
688758.SH,688758,20260325,93037000,170000,0,0,49,0,,,32493,550094,170600,168900,170600,169000,170000,170400,170500,170600,170900,171000,171400,171500,171600,171700,1313,9400,3400,2596,1000,14000,500,252,500,2650,169300,169200,169100,169000,168900,168800,167700,167500,167300,167200,2405,922,12846,7466,6374,2500,7375,300,3890,900,193030,166360,494261,110050,0,0,0,0,0
688758.SH,688758,20260325,93040000,169300,0,0,53,0,,,33188,561861,170600,168900,170600,169000,169900,170000,170400,170500,170600,170900,171000,171400,171500,171600,400,813,9400,3400,2596,1000,14000,500,252,500,169300,169200,169100,169000,168900,168800,167700,167500,167300,167200,3915,1731,14091,12436,4972,2900,7375,300,3890,900,193040,166530,494161,120382,0,0,0,0,0
688758.SH,688758,20260325,93043000,169300,0,0,53,0,,,33188,561861,170600,168900,170600,169000,169900,170000,170300,170400,170500,170600,170900,171000,171400,171500,400,813,295,9400,3400,2596,1000,14000,500,252,169800,169400,169300,169200,169100,169000,168900,168800,167700,167500,200,4300,3205,1731,2745,15019,5863,2500,7375,300,192960,166320,496628,138039,0,0,0,0,0
688758.SH,688758,20260325,93046000,169900,0,0,54,0,,,33388,565259,170600,168900,170600,169000,169900,170000,170300,170400,170500,170600,170900,171000,171400,171500,700,813,295,9400,3400,2196,1000,14000,500,252,169800,169400,169300,169200,169100,169000,168900,168800,167700,167500,200,6800,3005,1509,1445,8199,5463,2500,7375,300,192970,166200,496528,131897,0,0,0,0,0
