万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
605389.SH,605389,20260325,91400910,0,0,S,I,0,0
605389.SH,605389,20260325,91500110,0,760,A,S,802500,100
605389.SH,605389,20260325,91502010,0,8018,A,S,796800,900
605389.SH,605389,20260325,91502060,0,8437,A,S,761300,200
605389.SH,605389,20260325,91502060,0,8455,A,S,773300,200
605389.SH,605389,20260325,91502060,0,8500,A,S,781500,200
605389.SH,605389,20260325,91502060,0,8501,A,S,792100,200
605389.SH,605389,20260325,91502830,0,18357,A,S,755800,100
605389.SH,605389,20260325,91502950,0,20289,A,S,796800,200
605389.SH,605389,20260325,91502950,0,21270,A,B,712000,100
605389.SH,605389,20260325,91503090,0,22302,A,S,802600,100
605389.SH,605389,20260325,91503360,0,27520,A,B,679600,100
605389.SH,605389,20260325,91503500,0,29211,A,B,680000,1300
605389.SH,605389,20260325,91503770,0,32521,A,S,780700,100
605389.SH,605389,20260325,91503770,0,32539,A,S,795300,100
605389.SH,605389,20260325,91504040,0,37188,A,S,741700,100
605389.SH,605389,20260325,91504330,0,39583,A,S,795300,100
605389.SH,605389,20260325,91504330,0,39909,A,S,780700,100
605389.SH,605389,20260325,91504330,0,40225,A,S,750500,1200
605389.SH,605389,20260325,91504330,0,40410,A,S,752000,100
605389.SH,605389,20260325,91504490,0,42530,A,S,729700,100
605389.SH,605389,20260325,91504640,0,45239,A,S,778500,600
605389.SH,605389,20260325,91505220,0,52372,A,S,755700,200
605389.SH,605389,20260325,91505220,0,52384,A,S,767600,200
605389.SH,605389,20260325,91505220,0,52394,A,S,777700,200
605389.SH,605389,20260325,91505220,0,52423,A,S,785600,200
605389.SH,605389,20260325,91505220,0,52424,A,S,802600,1000
605389.SH,605389,20260325,91505360,0,54174,A,B,729700,200
605389.SH,605389,20260325,91506200,0,67016,A,S,802600,300
605389.SH,605389,20260325,91506510,0,69336,A,S,656600,100
605389.SH,605389,20260325,91506510,0,69407,A,S,802600,500
605389.SH,605389,20260325,91506660,0,71870,A,S,758400,200
605389.SH,605389,20260325,91506910,0,75818,A,S,751900,100
605389.SH,605389,20260325,91507350,0,80405,A,S,775600,200
605389.SH,605389,20260325,91507500,0,83332,A,S,799600,400
605389.SH,605389,20260325,91508310,0,93167,A,S,760000,600
605389.SH,605389,20260325,91508520,0,95098,A,S,656600,400
605389.SH,605389,20260325,91508520,0,95944,A,S,768900,100
605389.SH,605389,20260325,91508690,0,96518,A,S,802600,100
605389.SH,605389,20260325,91508690,0,97263,A,S,744600,200
605389.SH,605389,20260325,91508850,0,97263,D,S,744600,200
605389.SH,605389,20260325,91509020,0,100870,A,B,663700,500
605389.SH,605389,20260325,91509330,0,104620,A,S,802600,100
605389.SH,605389,20260325,91509500,0,107634,A,B,668300,100
605389.SH,605389,20260325,91509670,0,108678,A,B,663100,300
605389.SH,605389,20260325,91510230,0,116179,A,S,802500,100
605389.SH,605389,20260325,91510230,0,116191,A,B,656700,100
605389.SH,605389,20260325,91510410,0,117270,A,S,775000,200
605389.SH,605389,20260325,91510410,0,117896,A,S,777700,500
605389.SH,605389,20260325,91510410,0,117897,A,S,799700,1000
605389.SH,605389,20260325,91510580,0,119873,A,S,755000,600
605389.SH,605389,20260325,91511110,0,124903,A,B,704500,400
605389.SH,605389,20260325,91511470,0,128909,A,B,726200,100
605389.SH,605389,20260325,91511470,0,129436,A,B,656700,100
605389.SH,605389,20260325,91511640,0,131673,A,S,802500,100
605389.SH,605389,20260325,91511980,0,134372,A,S,802600,300
605389.SH,605389,20260325,91511980,0,135044,A,S,778200,200
605389.SH,605389,20260325,91511980,0,135833,A,S,739900,1000
605389.SH,605389,20260325,91512320,0,139495,A,S,735000,200
605389.SH,605389,20260325,91512500,0,141124,A,S,760000,1000
605389.SH,605389,20260325,91512670,0,142595,A,S,780000,1000
605389.SH,605389,20260325,91513030,0,146796,A,B,656700,100
605389.SH,605389,20260325,91513190,0,148672,A,S,766000,100
605389.SH,605389,20260325,91513330,0,150518,A,B,747800,4400
605389.SH,605389,20260325,91513490,0,151061,A,S,785000,200
605389.SH,605389,20260325,91513840,0,154749,A,S,751400,1600
605389.SH,605389,20260325,91513840,0,154754,A,S,751400,500
605389.SH,605389,20260325,91513920,0,156419,A,S,800000,200
605389.SH,605389,20260325,91514080,0,157040,A,S,750000,100
605389.SH,605389,20260325,91515860,0,177492,A,S,729700,1900
605389.SH,605389,20260325,91516030,0,178533,A,S,730500,200
605389.SH,605389,20260325,91516030,0,178718,A,B,705900,500
605389.SH,605389,20260325,91516210,0,180752,A,S,752000,1000
605389.SH,605389,20260325,91516390,0,181581,A,B,656700,300
605389.SH,605389,20260325,91516390,0,181659,A,B,802600,4200
605389.SH,605389,20260325,91517540,0,192603,A,S,801000,3000
605389.SH,605389,20260325,91520150,0,216954,A,B,656600,1000
605389.SH,605389,20260325,91520600,0,220157,A,S,802600,100
605389.SH,605389,20260325,91524980,0,224575,A,B,762500,100
605389.SH,605389,20260325,91534780,0,227379,A,B,750500,100
605389.SH,605389,20260325,91545790,0,230483,A,S,750500,100
605389.SH,605389,20260325,91546140,0,230569,A,B,762500,100
605389.SH,605389,20260325,91549480,0,231603,A,S,797500,100
605389.SH,605389,20260325,91605800,0,236515,A,S,750500,100
605389.SH,605389,20260325,91607950,0,237173,A,S,700000,100
605389.SH,605389,20260325,91608640,0,237381,A,S,750500,200
605389.SH,605389,20260325,91617110,0,238854,A,B,762500,100
605389.SH,605389,20260325,91622560,0,148672,D,S,766000,100
605389.SH,605389,20260325,91638400,0,242538,A,S,802600,100
605389.SH,605389,20260325,91701750,0,246886,A,S,791800,100
605389.SH,605389,20260325,91713260,0,249367,A,S,750500,400
605389.SH,605389,20260325,91729380,0,252486,A,S,771500,200
605389.SH,605389,20260325,91730970,0,252794,A,B,700500,500
605389.SH,605389,20260325,91731700,0,69336,D,S,656600,100
605389.SH,605389,20260325,91746050,0,255813,A,B,678000,800
605389.SH,605389,20260325,91752420,0,257215,A,S,750500,100
605389.SH,605389,20260325,91817740,0,262811,A,B,750500,100
605389.SH,605389,20260325,91821020,0,263550,A,S,751500,100
605389.SH,605389,20260325,91856220,0,271472,A,S,775000,500
605389.SH,605389,20260325,91903480,0,273126,A,S,735500,1100
605389.SH,605389,20260325,91929800,0,279320,A,S,750500,100
605389.SH,605389,20260325,91948390,0,283860,A,S,780000,500
605389.SH,605389,20260325,92023850,0,294014,A,S,750000,300
605389.SH,605389,20260325,92037950,0,297814,A,S,773300,200
605389.SH,605389,20260325,92038390,0,297939,A,S,747600,300
605389.SH,605389,20260325,92051220,0,301330,A,S,784000,300
605389.SH,605389,20260325,92056250,0,302654,A,S,728200,100
605389.SH,605389,20260325,92100430,0,303863,A,S,747800,100
605389.SH,605389,20260325,92101160,0,304405,A,B,802600,100
605389.SH,605389,20260325,92106310,0,306174,A,B,802600,100
605389.SH,605389,20260325,92114420,0,308421,A,B,748700,500
605389.SH,605389,20260325,92119680,0,310005,A,S,747800,100
605389.SH,605389,20260325,92122110,0,310718,A,S,740000,400
605389.SH,605389,20260325,92122550,0,310842,A,S,747800,100
605389.SH,605389,20260325,92130660,0,313220,A,B,690100,200
605389.SH,605389,20260325,92130720,0,313242,A,S,802600,100
605389.SH,605389,20260325,92140050,0,316018,A,B,747800,100
605389.SH,605389,20260325,92149640,0,318902,A,B,802600,100
605389.SH,605389,20260325,92204680,0,323722,A,S,747800,200
605389.SH,605389,20260325,92214340,0,326909,A,S,760000,100
605389.SH,605389,20260325,92214420,0,326929,A,S,802500,3700
605389.SH,605389,20260325,92216930,0,327742,A,S,742700,100
605389.SH,605389,20260325,92227770,0,331214,A,S,752000,100
605389.SH,605389,20260325,92231900,0,332609,A,S,761000,300
605389.SH,605389,20260325,92234430,0,333490,A,S,747800,100
605389.SH,605389,20260325,92241130,0,335840,A,S,801500,100
605389.SH,605389,20260325,92244760,0,337113,A,S,773800,200
605389.SH,605389,20260325,92244840,0,337141,A,B,707700,100
605389.SH,605389,20260325,92303300,0,343985,A,S,780000,100
605389.SH,605389,20260325,92308200,0,345991,A,S,747000,200
605389.SH,605389,20260325,92310400,0,346804,A,B,748600,600
605389.SH,605389,20260325,92321760,0,351300,A,B,703800,100
605389.SH,605389,20260325,92332410,0,355804,A,B,761200,300
605389.SH,605389,20260325,92337180,0,357918,A,S,747700,100
605389.SH,605389,20260325,92338170,0,358388,A,S,797900,100
605389.SH,605389,20260325,92343340,0,360679,A,S,656600,100
605389.SH,605389,20260325,92344230,0,361056,A,S,747000,500
605389.SH,605389,20260325,92347670,0,362684,A,S,784900,1800
605389.SH,605389,20260325,92349640,0,363634,A,S,740000,300
605389.SH,605389,20260325,92350210,0,363916,A,S,745000,200
605389.SH,605389,20260325,92352750,0,365100,A,S,749900,100
605389.SH,605389,20260325,92356600,0,366876,A,S,788700,100
605389.SH,605389,20260325,92359480,0,368180,A,S,747900,200
605389.SH,605389,20260325,92402020,0,369740,A,S,790000,100
605389.SH,605389,20260325,92402530,0,369982,A,S,656600,100
605389.SH,605389,20260325,92404160,0,370877,A,S,744000,700
605389.SH,605389,20260325,92405020,0,371342,A,B,710000,100
605389.SH,605389,20260325,92405830,0,371741,A,S,728100,200
605389.SH,605389,20260325,92405920,0,371785,A,S,802600,100
605389.SH,605389,20260325,92406150,0,371917,A,S,747800,300
605389.SH,605389,20260325,92408630,0,373357,A,S,738000,200
605389.SH,605389,20260325,92410380,0,374436,A,S,802600,600
605389.SH,605389,20260325,92415700,0,377676,A,S,656600,500
605389.SH,605389,20260325,92416150,0,377979,A,B,780700,300
605389.SH,605389,20260325,92417030,0,378550,A,S,656600,200
605389.SH,605389,20260325,92420670,0,381049,A,B,780700,100
605389.SH,605389,20260325,92420710,0,381080,A,B,780700,100
605389.SH,605389,20260325,92420750,0,381112,A,S,750000,100
605389.SH,605389,20260325,92422410,0,382266,A,S,747800,6600
605389.SH,605389,20260325,92422460,0,382308,A,S,747300,400
605389.SH,605389,20260325,92422560,0,382395,A,S,745000,300
605389.SH,605389,20260325,92423120,0,382776,A,S,747200,300
605389.SH,605389,20260325,92423490,0,383042,A,S,745700,200
605389.SH,605389,20260325,92430570,0,388257,A,S,740000,3100
605389.SH,605389,20260325,92433200,0,390235,A,S,740000,500
605389.SH,605389,20260325,92436210,0,392417,A,S,802600,500
605389.SH,605389,20260325,92444430,0,399058,A,S,743900,100
605389.SH,605389,20260325,92444800,0,399345,A,S,744000,100
605389.SH,605389,20260325,92447260,0,401465,A,B,752000,200
605389.SH,605389,20260325,92449680,0,403638,A,S,727800,100
605389.SH,605389,20260325,92450770,0,404855,A,S,656600,100
605389.SH,605389,20260325,92451030,0,405125,A,B,802600,100
605389.SH,605389,20260325,92451070,0,405196,A,S,716500,1300
605389.SH,605389,20260325,92451140,0,405279,A,S,716500,2500
605389.SH,605389,20260325,92451990,0,406250,A,B,780700,400
605389.SH,605389,20260325,92452400,0,406738,A,B,780800,300
