万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数
605389.SH,605389,20260325,91403000,0,0,0,0,0,,,0,0,0,0,0,729600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605389.SH,605389,20260325,91500000,0,0,0,0,0,,,0,0,0,0,0,729600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802500,0,100,0,0,0,0,0,0
605389.SH,605389,20260325,91503000,0,0,0,0,0,,,0,0,0,0,0,729600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788280,712000,2200,100,0,0,0,0,0
605389.SH,605389,20260325,91506000,0,0,0,0,0,,,0,0,0,0,0,729600,729700,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,729700,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,778360,687710,6500,1700,0,0,0,0,0
605389.SH,605389,20260325,91509000,0,0,0,0,0,,,0,0,0,0,0,729600,680000,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,680000,0,0,0,0,0,0,0,0,0,500,1100,0,0,0,0,0,0,0,0,773130,682250,9500,2200,0,0,0,0,0
605389.SH,605389,20260325,91512000,0,0,0,0,0,,,0,0,0,0,0,729600,704500,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,704500,0,0,0,0,0,0,0,0,0,500,300,0,0,0,0,0,0,0,0,773410,682570,13600,3300,0,0,0,0,0
605389.SH,605389,20260325,91515000,0,0,0,0,0,,,0,0,0,0,0,729600,747800,0,0,0,0,0,0,0,0,0,1900,0,0,0,0,0,0,0,0,0,747800,0,0,0,0,0,0,0,0,0,1900,2500,0,0,0,0,0,0,0,0,770370,719030,18500,7800,0,0,0,0,0
605389.SH,605389,20260325,91518000,0,0,0,0,0,,,0,0,0,0,0,729600,750500,0,0,0,0,0,0,0,0,0,4200,1100,0,0,0,0,0,0,0,0,750500,0,0,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,0,769900,744480,24600,12800,0,0,0,0,0
605389.SH,605389,20260325,91521000,0,0,0,0,0,,,0,0,0,0,0,729600,750500,0,0,0,0,0,0,0,0,0,4200,1100,0,0,0,0,0,0,0,0,750500,0,0,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,0,770030,738110,24700,13800,0,0,0,0,0
605389.SH,605389,20260325,91527000,0,0,0,0,0,,,0,0,0,0,0,729600,750500,0,0,0,0,0,0,0,0,0,4300,1000,0,0,0,0,0,0,0,0,750500,0,0,0,0,0,0,0,0,0,4300,0,0,0,0,0,0,0,0,0,770030,738290,24700,13900,0,0,0,0,0
